BUNDLE;GZIP;SIZE
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-easy-image$dist$index.js.(EYLBE4SZ).js;1915;4271
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-balloon$dist$index.js.(N54OPX3R).js;5160;13982
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-classic$dist$index.js.(2CMGHQPQ).js;5890;16250
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-decoupled$dist$index.js.(OPLJWEKY).js;5232;14294
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-inline$dist$index.js.(MF6VIAIS).js;5693;15556
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-editor-multi-root$dist$index.js.(XBC64F56).js;6898;20217
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-emoji$dist$index.js.(JOBMII4M).js;17125;49591
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-engine$dist$index.js.(LT77YQKM).js;85930;337029
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-enter$dist$index.js.(NQHVATMX).js;4330;11079
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-essentials$dist$index.js.(5MJYXDOH).js;2162;6104
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-find-and-replace$dist$index.js.(XWC2GCZO).js;10158;32068
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-font$dist$index.js.(IPLNNXSA).js;9467;31487
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-fullscreen$dist$index.js.(YNV6DKWW).js;7473;27714
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-heading$dist$index.js.(HMV76AR5).js;8816;25908
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-highlight$dist$index.js.(TSXW4XC2).js;4757;13932
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-horizontal-line$dist$index.js.(3QISGS6Y).js;3989;11142
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-html-embed$dist$index.js.(JGMG3ETY).js;6280;17476
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-html-support$dist$index.js.(RCEWCSW5).js;17693;67180
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-icons$dist$index.js.(YKHYT74P).js;32324;102689
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-image$dist$index.js.(N2XZVJS2).js;25449;92456
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-indent$dist$index.js.(LCPOU4JT).js;6809;19623
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-language$dist$index.js.(PUNQJISM).js;4167;10961
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-link$dist$index.js.(YTUMFURA).js;16885;57260
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-list$dist$index.js.(GXJLSRO7).js;30123;114496
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-markdown-gfm$dist$index.js.(LNAFC635).js;66268;241810
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-media-embed$dist$index.js.(ZDQOIYBA).js;10195;30128
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-mention$dist$index.js.(DUEVPF45).js;7527;20289
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-minimap$dist$index.js.(CTWXR6S3).js;6592;18728
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-page-break$dist$index.js.(4JR3A6CZ).js;4231;11631
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-paragraph$dist$index.js.(Y6FQTOH6).js;4780;12701
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-paste-from-office$dist$index.js.(YAZD2B5R).js;7294;19886
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-react.(4TUX2MN7).js;9346;27054
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-remove-format$dist$index.js.(GANXKSUK).js;4604;12565
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-restricted-editing$dist$index.js.(YVYPHLDT).js;9312;28540
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-select-all$dist$index.js.(XGG2UGJS).js;4481;11923
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-show-blocks$dist$index.js.(DCYXFJ5J).js;3448;9468
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-source-editing$dist$index.js.(LRDGMHRX).js;5548;15666
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-special-characters$dist$index.js.(2TGCFCB3).js;8634;33894
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-style$dist$index.js.(YOGT4XBS).js;6795;22762
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-table$dist$index.js.(TK2UQVGB).js;42639;155757
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-typing$dist$index.js.(PBLCZ6SH).js;10241;30972
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-ui$dist$index.js.(LA5P7LXE).js;59101;208816
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-undo$dist$index.js.(373GH4OQ).js;6073;17287
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-upload$dist$index.js.(WI6LA7O6).js;3324;8774
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-utils$dist$index.js.(5HRG6CKQ).js;17114;49792
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-watchdog$dist$index.js.(QA45D4CV).js;5595;17132
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-widget$dist$index.js.(IOZGFRMN).js;15441;50217
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/@ckeditor$ckeditor5-word-count$dist$index.js.(ZXLP6HYI).js;4235;10567
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/exports/eventsource.(MCXM77H6).js;2879;6709
apps/frontend-editor/frontend-editor-ckeditor-web/__liferay__/index.(CED2CQCZ).js;35059;106383
apps/frontend-icons/frontend-icons-web/__liferay__/index.(I6IUFPXY).js;155;202
apps/frontend-js/frontend-js-bootstrap-support-web/__liferay__/index.(BJNBFAK6).js;2455;8946
apps/frontend-js/frontend-js-clay-web/__liferay__/css/@clayui$css$lib$css$atlas.(4NNBOSIU).css;76523;583482
apps/frontend-js/frontend-js-clay-web/__liferay__/css/@clayui$css$lib$css$base.(2N72CYN2).css;70149;518846
apps/frontend-js/frontend-js-clay-web/__liferay__/css/@clayui$css$lib$css$cadmin.(ZALTOYHI).css;75394;833669
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$alert.(PX4SCRWU).js;1534;3979
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$autocomplete.(MDZ6TWSX).js;5416;13765
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$badge.(UMC5DU2X).js;723;1416
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$breadcrumb.(W3VV7PCS).js;2114;4542
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$button.(OIOENRQV).js;1931;4203
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$card.(JFOD4EUO).js;3588;12394
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$charts.(QUXVPQCM).js;146914;462225
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$color-picker.(PKSU2WK7).js;10665;29642
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$core.(V453MPPR).js;33905;107284
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$data-provider.(OBK5WOKQ).js;3911;8284
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$date-picker.(CJKV35HE).js;23322;131677
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$drop-down.(XR3EFZIJ).js;7406;21538
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$empty-state.(6CTIYDLP).js;1152;2553
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$form.(CD3LYNPP).js;4054;12650
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$icon.(TSTXA5FA).js;1299;2567
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$label.(FGB7NRUA).js;1024;2733
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$layout.(WVXYPNYS).js;2097;5732
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$link.(EGANRMUK).js;1130;2432
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$list.(QL5JXLIE).js;3068;8331
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$loading-indicator.(RSQAF7WJ).js;750;1495
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$localized-input.(WTQC56BZ).js;1516;3273
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$management-toolbar.(2UIMBGZN).js;1098;2758
