BUNDLE;GZIP;SIZE
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/moment.js;20418;62290
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/moment$min$moment-with-locales.js;80117;367422
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/numeral.js;4533;12538
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/object-hash.js;11591;35649
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/pkce-challenge.js;20685;60763
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/qrcode.js;18177;54396
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/qs.js;4221;11330
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-dropzone.js;6295;17707
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-flow-renderer.js;52376;174256
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-helmet.js;6501;17800
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-router-dom.js;10363;29798
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-text-mask.js;5302;14113
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-transition-group.js;4534;14940
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/text-mask-addons.js;2759;6579
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/text-mask-core.js;3494;9238
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/uuid.js;3603;8487
apps/frontend-js/frontend-js-react-web/__liferay__/exports/classnames.js;784;1424
apps/frontend-js/frontend-js-react-web/__liferay__/exports/formik.js;17511;53049
apps/frontend-js/frontend-js-react-web/__liferay__/exports/prop-types.js;984;1906
apps/frontend-js/frontend-js-react-web/__liferay__/exports/react-16.js;3712;9327
apps/frontend-js/frontend-js-react-web/__liferay__/exports/react-18.js;3357;8626
apps/frontend-js/frontend-js-react-web/__liferay__/exports/react-dnd-html5-backend.js;4884;17731
apps/frontend-js/frontend-js-react-web/__liferay__/exports/react-dnd.js;15816;73917
apps/frontend-js/frontend-js-react-web/__liferay__/exports/react-dom-16.js;39918;125784
apps/frontend-js/frontend-js-react-web/__liferay__/exports/react-dom-18.js;43850;135894
apps/frontend-js/frontend-js-react-web/__liferay__/exports/react-dom.js;43863;135923
apps/frontend-js/frontend-js-react-web/__liferay__/exports/react.js;3372;8655
apps/frontend-js/frontend-js-react-web/__liferay__/index.js;2605;6234
apps/frontend-js/frontend-js-recharts/__liferay__/exports/recharts.js;141382;522528
apps/frontend-js/frontend-js-spa-web/__liferay__/index.js;11365;40100
apps/frontend-js/frontend-js-state-web/__liferay__/index.js;1539;4194
apps/frontend-js/frontend-js-tooltip-support-web/__liferay__/index.js;782;2032
apps/frontend-js/frontend-js-walkthrough-web/__liferay__/index.js;3856;10912
apps/frontend-js/frontend-js-web/__liferay__/index.js;20077;66741
apps/frontend-taglib/frontend-taglib-clay-sample-web/__liferay__/index.js;2083;6368
apps/frontend-taglib/frontend-taglib-clay/__liferay__/css/@clayui$css$lib$css$atlas.css;75368;575395
apps/frontend-taglib/frontend-taglib-clay/__liferay__/css/@clayui$css$lib$css$base.css;69155;511105
apps/frontend-taglib/frontend-taglib-clay/__liferay__/css/@clayui$css$lib$css$cadmin.css;74732;824309
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$alert.js;2261;7418
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$autocomplete.js;6862;22604
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$badge.js;1170;2585
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$breadcrumb.js;2798;7468
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$button.js;2422;7082
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$card.js;5914;28016
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$charts.js;150728;478509
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$color-picker.js;13224;43821
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$core.js;45891;205175
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$data-provider.js;4929;15059
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$date-picker.js;30107;165815
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$drop-down.js;11024;49471
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$empty-state.js;2381;5764
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$form.js;7006;31469
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$icon.js;1411;3175
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$label.js;1615;4658
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$layout.js;3111;14373
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$link.js;1803;4329
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$list.js;4419;17569
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$loading-indicator.js;1237;2804
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$localized-input.js;2974;8543
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$management-toolbar.js;1994;7973
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$modal.js;6735;26036
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$multi-select.js;5916;18661
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$multi-step-nav.js;3596;11428
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$nav.js;1460;3329
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$navigation-bar.js;3597;11152
