BUNDLE;GZIP;SIZE
apps/asset/asset-categories-item-selector-web/__liferay__/index.js:/js/AssetCategoryTree.js;879;3099
apps/asset/asset-categories-item-selector-web/__liferay__/index.js:/js/SelectAssetCategoryInfoItem.js;699;2567
apps/asset/asset-categories-item-selector-web/__liferay__/index.js:/js/SelectEntityHandler.js;212;581
apps/asset/asset-list-web/__liferay__/index.js:/js/api/index.js;104;211
apps/asset/asset-list-web/__liferay__/index.js:/js/AssetEntryListDropdownDefaultPropsTransformer.js;283;945
apps/asset/asset-list-web/__liferay__/index.js:/js/AssetListEntryVariationDefaultPropsTransformer.js;230;694
apps/asset/asset-list-web/__liferay__/index.js:/js/components/AssetFilterBuilder/index.js;979;5942
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/DropDownItem.js;252;756
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/index.js;578;2484
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/SortableList.js;468;1475
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/SortableListItem.js;524;1973
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/SortableListItemMoreActions.js;374;1405
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/utils/index.js;249;592
apps/asset/asset-list-web/__liferay__/index.js:/js/EditAssetListEntryManualDefaultPropsTransformer.js;196;527
apps/asset/asset-list-web/__liferay__/index.js:/js/EmptyResultMessagePropsTransformer.js;174;459
apps/asset/asset-list-web/__liferay__/index.js:/js/InfoCollectionProviderDropdownDefaultPropsTransformer.js;116;278
apps/asset/asset-list-web/__liferay__/index.js:/js/ListItemsDropdownPropsTransformer.js;166;471
apps/asset/asset-list-web/__liferay__/index.js:/js/ManagementToolbarPropsTransformer.js;226;625
apps/asset/asset-list-web/__liferay__/index.js:/js/openDeleteAssetEntryListModal.js;193;580
apps/asset/asset-list-web/__liferay__/index.js:/js/Ordering.js;185;446
apps/asset/asset-list-web/__liferay__/index.js:/js/ScopeDefaultPropsTransformer.js;308;897
apps/asset/asset-list-web/__liferay__/index.js:/js/SelectStructureField.js;379;1268
apps/asset/asset-list-web/__liferay__/index.js:/js/Source.js;979;4450
apps/asset/asset-list-web/__liferay__/index.js:/js/TopLinkEventHandler.js;139;320
apps/asset/asset-publisher-web/__liferay__/index.js:/js/AssetEntryActionButtonPropsTransformer.js;73;104
apps/asset/asset-publisher-web/__liferay__/index.js:/js/AssetEntryActionDropdownPropsTransformer.js;338;915
apps/asset/asset-publisher-web/__liferay__/index.js:/js/AssetEntrySelectionDropdownPropsTransformer.js;329;773
apps/asset/asset-publisher-web/__liferay__/index.js:/js/components/AssetFilterBuilder/index.js;1104;5784
apps/asset/asset-publisher-web/__liferay__/index.js:/js/CreateAssetListActionButtonPropsTransformer.js;181;413
apps/asset/asset-publisher-web/__liferay__/index.js:/js/DisplaySettings.js;271;631
apps/asset/asset-publisher-web/__liferay__/index.js:/js/Ordering.js;171;350
apps/asset/asset-publisher-web/__liferay__/index.js:/js/printPageButtonPropsTransformer.js;175;502
apps/asset/asset-publisher-web/__liferay__/index.js:/js/ScopeActionDropdownPropsTransformer.js;289;645
apps/asset/asset-publisher-web/__liferay__/index.js:/js/SelectCollection.js;531;2151
apps/asset/asset-publisher-web/__liferay__/index.js:/js/SelectStructureField.js;403;1172
apps/asset/asset-publisher-web/__liferay__/index.js:/js/Source.js;1108;4324
apps/asset/asset-taglib/__liferay__/index.js:/js/asset_categories_navigation/AssetCategoriesNavigationTreeView.js;338;1048
apps/asset/asset-taglib/__liferay__/index.js:/js/asset_categories_selector/AssetCategoriesSelector.js;311;1099
apps/asset/asset-taglib/__liferay__/index.js:/js/asset_categories_selector/AssetCategoriesSelectorTag.js;428;1898
apps/asset/asset-taglib/__liferay__/index.js:/js/asset_categories_selector/AssetVocabularyCategoriesSelector.js;1018;3882
apps/asset/asset-taglib/__liferay__/index.js:/js/asset_categories_selector/assetVocabularyVisibilityTypes.js;78;122
apps/asset/asset-taglib/__liferay__/index.js:/js/asset_tags_selector/AssetTagsSelector.js;911;3228
apps/asset/asset-taglib/__liferay__/index.js:/js/asset_tags_selector/AssetTagsSelectorTag.js;315;1166
apps/asset/asset-taglib/__liferay__/index.js:/js/InputAssetLinkDropdownDefaultPropsTransformer.js;454;1544
apps/asset/asset-tags-admin-web/__liferay__/index.js:/js/AssetTagActionDropdownPropsTransformer.js;176;331
apps/asset/asset-tags-admin-web/__liferay__/index.js:/js/ManagementToolbarPropsTransformer.js;309;638
apps/asset/asset-tags-admin-web/__liferay__/index.js:/js/openDeleteTagModal.js;228;553
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/BatchPlannerExport.js;144;363
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/BatchPlannerImport.js;139;352
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/BatchPlannerPlanTemplateManagementToolbarPropsTransformer.js;216;660
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/components/ExportSettings.js;354;1618
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/components/FileUpload.js;574;2629
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/components/ImportEntityType.js;216;690
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/components/Scope.js;234;695
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/components/Strategies.js;345;1259
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/constants.js;285;1059
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/DownloadHelper.js;316;1083
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/editBatchPlannerPlan.js;466;1672
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/export/Export.js;344;1185
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/export/ExportModal.js;289;1086
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/export/ExportModalBody.js;232;885
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/FieldsTable.js;600;2706
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/FileParsers.js;499;1852
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/getFieldsFromSchema.js;122;282
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/import/ImportForm.js;860;4477
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/import/ImportMappingItem.js;374;1459
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/import/ImportModal.js;338;1360
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/import/ImportPreviewModal.js;290;1082
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/import/ImportSubmit.js;234;806
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/Poller.js;558;2544
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/SaveTemplate.js;393;1463
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/SaveTemplateModal.js;503;1946
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/showUploadInput.js;230;653
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/TemplateSelect.js;381;1518
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/utilities/dataFetch.js;141;347
apps/batch-planner/batch-planner-web/__liferay__/index.js:/js/utilities/mappings.js;130;315
apps/blogs/blogs-web/__liferay__/index.js:/js/blogs_admin/BlogEntriesManagementToolbarPropsTransformer.js;339;670
apps/blogs/blogs-web/__liferay__/index.js:/js/blogs_admin/ElementsDefaultEventHandler.js;313;758
apps/blogs/blogs-web/__liferay__/index.js:/js/blogs_admin/ElementsPropsTransformer.js;429;998
apps/blogs/blogs-web/__liferay__/index.js:/js/blogs/AssetCategoriesSelectionBox.tsx;643;1703
apps/blogs/blogs-web/__liferay__/index.js:/js/blogs/blogs.js;2432;10117
apps/bookmarks/bookmarks-web/__liferay__/index.js:/js/bookmarks/BookmarksDragAndDrop.js;307;679
apps/bookmarks/bookmarks-web/__liferay__/index.js:/js/bookmarks/BookmarksManagementToolbarPropsTransformer.js;360;744
apps/bookmarks/bookmarks-web/__liferay__/index.js:/js/SaveConfigurationButtonPropsTransformer.js;167;429
apps/calendar/calendar-web/__liferay__/index.js:/js/legacy/scheduler_event_validator.js;794;2085
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/ChangeTrackingComments.js;1359;7242
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/ChangeTrackingIndicator.js;2019;9866
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/ChangeTrackingNotifications.js;404;1146
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/DeletePublicationsFDSPropsTransformer.js;316;849
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/ExperienceDropdown.js;449;1527
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/form/CollapsablePanel.js;389;1356
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/form/hooks/useHeightTransition.js;253;573
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/form/TextField.js;503;1339
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/manage-collaborators-modal/CollaboratorRow.js;786;2840
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/manage-collaborators-modal/ManageCollaborators.js;2747;13424
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/PublicationHistoryPropsTransformer.js;321;776
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/PublicationsExpiredInfoPanel.js;289;659
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/PublicationsSearchContainer.js;1621;7884
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/PublicationTimeline.js;689;2543
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/StatusRenderer.js;234;619
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/TimelineDropdownMenu.js;462;1561
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/ViewPublicationsDropdownMenu.js;424;1632
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/components/WorkflowStatusLabel.js;211;574
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/util/util.js;129;231
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingBaseScheduleView.js;821;4062
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingChangesToolbar.js;900;3347
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingChangeView.js;1118;4522
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingCollectionEditView.js;1134;5362
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingConflictsView.js;1685;10003
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingOverview.js;425;1347
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingRelatedEntriesView.js;778;3115
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingRelationshipsView.js;500;1447
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingRenderView.js;2988;20395
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingRescheduleView.js;574;2635
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/ChangeTrackingWorkflowView.js;527;3187
apps/change-tracking/change-tracking-web/__liferay__/index.js:/publications/js/views/PublicationTemplateEditView.js;982;4744
apps/client-extension/client-extension-web/__liferay__/index.js:/js/components/global-js/AttributeFields.tsx;730;2855
apps/client-extension/client-extension-web/__liferay__/index.js:/js/components/global-js/ScriptElementAttributesFormField.tsx;386;995
apps/client-extension/client-extension-web/__liferay__/index.js:/js/components/ModalImportClientExtensionEntry.tsx;644;2309
apps/client-extension/client-extension-web/__liferay__/index.js:/js/components/theme-css/FrontendTokenDefinitionFilePicker.tsx;990;3488
apps/comment/comment-taglib/__liferay__/index.js:/discussion/css/main.scss;149;312
apps/comment/comment-taglib/__liferay__/index.js:/discussion/js/Comments.js;1498;5909
apps/comment/comment-taglib/__liferay__/index.js:/discussion/js/components/ReplyPopover.js;419;1174
apps/comment/comment-taglib/__liferay__/index.js:/discussion/js/components/UserIcon.js;252;566
apps/comment/comment-taglib/__liferay__/index.js:/discussion/js/hooks/useOnClickOutside.js;194;437
apps/comment/comment-taglib/__liferay__/index.js:/discussion/js/PageResources.js;185;416
apps/comment/comment-taglib/__liferay__/index.js:/discussion/js/ViewMessageThread.js;158;352
apps/commerce/commerce-account-web/__liferay__/index.js:/js/channels.js;444;1074
apps/commerce/commerce-account-web/__liferay__/index.js:/js/qualifiers.js;273;519
apps/commerce/commerce-availability-estimate-web/__liferay__/index.js:/js/index.js;309;526
apps/commerce/commerce-cart-content-web/__liferay__/index.js:/js/cart_mini/view.js;152;397
apps/commerce/commerce-cart-content-web/__liferay__/index.js:/js/cart_total/requestQuote.js;260;881
apps/commerce/commerce-cart-content-web/__liferay__/index.js:/js/cart_total/view.js;170;528
apps/commerce/commerce-cart-content-web/__liferay__/index.js:/js/cart/view.js;94;217
apps/commerce/commerce-cart-content-web/__liferay__/index.js:/js/transition.js;339;1270
apps/commerce/commerce-catalog-web/__liferay__/index.js:/js/addCommerceCatalog.js;336;891
apps/commerce/commerce-catalog-web/__liferay__/index.js:/js/addCommerceCatalogAutocomplete.js;113;272
apps/commerce/commerce-catalog-web/__liferay__/index.js:/js/detailsAutocomplete.js;250;1360
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/accountEntries.js;410;1114
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/addCommerceChannel.js;337;939
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/commerce_channel/commerceChannelCountry.js;296;790
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/commerce_marketplace_payment_method/index.tsx;810;2701
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/commerce_marketplace_payment_method/MarketplacePurchase.tsx;476;1991
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/commerce_marketplace_payment_method/style/index.scss;155;349
